C,N,cycles:u,cycles:k,cycles,instructions:u,instructions:k,instructions,cache-misses:u,cache-misses:k,cache-misses,LLC-loads:u, LLC-loads:k,LLC-loads,LLC-load-misses:u,LLC-load-misses:k,LLC-load-misses,LLC-store-misses:u,LLC-store-misses:k,LLC-store-misses
82,48780,1767678,1574404,3343150,2123784,1111066,3234850,25581,24369,49964,4269,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
83,48192,1554114,1330435,2885479,2123796,1115485,3239281,19013,15173,34194,4206,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
84,47619,311960,1382763,2980766,2123786,1100064,3223850,21531,18970,40511,4238,6436,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
85,47058,1569147,1374469,2944801,2123807,1118368,3242175,20221,17320,37547,4222,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
86,46511,1587714,1339724,2928633,2123792,1090953,3214745,20106,17648,37763,4176,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
87,45977,1561019,1316095,2878247,2123810,1143244,3267054,18843,14827,33674,4223,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
88,45454,1561353,1347755,2910014,2123808,1137481,3261289,18995,15392,34391,4240,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
89,44943,542543,1364989,2924208,2123800,1149828,3273628,18631,16113,34752,4235,5483,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
90,44444,405207,1341355,2915236,2123806,1107751,3231557,20763,16647,37420,4197,6426,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
91,43956,1557655,1361692,2920534,2123810,1157812,3281622,19460,15678,35146,4203,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
92,43478,1552803,1330059,2883859,2123798,1089342,3213140,19051,16077,35133,4285,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
93,43010,1603365,1445584,3050118,2123786,1157895,3281681,21270,18648,39924,4382,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
94,42553,1593042,1458229,3052198,2123811,1136258,3260069,21838,19616,41467,4321,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
95,42105,1614277,1455287,3070687,2123796,1123916,3247712,21481,19977,41473,4294,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
96,41666,1563651,1362587,2927395,2123798,1156998,3280796,19090,16025,35120,4297,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
97,41237,386610,1338730,2898885,2123798,1154191,3277989,19487,15582,35074,4270,6357,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
98,40816,1573400,1368088,2942413,2123810,1142347,3266157,19575,15649,35236,4339,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
99,40404,1635765,1468944,3105863,2123782,1101913,3225695,23248,21244,44507,4266,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
100,40000,1565544,1377000,2943674,2123801,1150538,3274339,20308,17168,37483,4353,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
101,39603,1558563,1361425,2921098,2123785,1113463,3237248,19161,16659,35827,4249,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
102,39215,1585466,1380961,2967374,2123794,1111151,3234945,20248,16918,37179,4244,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
103,38834,1554393,1357631,2937387,2123788,1116263,3240051,20149,16392,36554,4617,6689,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
104,38461,1630583,1506665,3138337,2123808,1137474,3261282,22491,21116,43624,4217,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
105,38095,1577268,1353253,2931643,2123800,1096073,3219873,19686,16911,36600,4291,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
106,37735,1735845,1492243,3082714,2123839,1156363,3280202,20449,19571,40031,4636,8817,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
107,37383,1559725,1354513,2915348,2123785,1130775,3254560,19163,17056,36224,4246,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
108,37037,1561247,1326960,2889452,2123806,1114235,3238041,19505,15551,35059,4375,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
109,36697,1556391,1311179,2868732,2123794,1108686,3232480,18935,15063,34001,4286,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
110,36363,1583761,1389184,2974123,2123798,1150078,3273876,20368,18002,38381,4240,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
111,36036,1556667,1314500,2872211,2123782,1112161,3235943,18648,14680,33338,4156,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
112,35714,346321,1408370,2968286,2123799,1149656,3273455,19031,15997,35036,4236,5994,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
113,35398,1204889,1474486,3069855,2123802,1160397,3284199,20008,18991,39009,4455,5453,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
114,35087,1666676,1535688,3203409,2123797,1151190,3274987,23307,20948,44270,4251,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
115,34782,1561913,1305619,2868794,2123797,1115224,3239021,18761,13754,32526,4313,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
116,34482,1608187,1446380,3055614,2123810,1137428,3261238,23470,19570,43051,4150,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
117,34188,1573983,1381877,2956708,2123806,1097593,3221399,21069,17792,38871,4184,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
118,33898,1604030,1436201,3041353,2123795,1129903,3253698,23683,19449,43148,4295,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
119,33613,1583017,1434487,3018637,2123798,1122891,3246689,21146,18803,39962,4230,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
120,33333,1544487,1333190,2878766,2123785,1102252,3226037,19405,16396,35808,4193,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
121,33057,1594347,1375055,2970488,2123807,1100374,3224181,19155,15988,35145,4247,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
122,32786,1588891,1368594,2958557,2123797,1136848,3260645,20808,16364,37183,4280,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
123,32520,1570292,1377160,2948407,2123801,1125257,3249058,19707,18101,37818,4274,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
124,32258,1661541,1582845,3413081,2123796,1075808,3199604,26870,26472,53359,4613,5488,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
125,32000,1663291,1534910,3199294,2123800,1155372,3279172,22963,22199,45175,4797,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
126,31746,1557058,1334193,2892449,2123782,1094397,3218179,19191,16932,36127,4312,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
127,31496,1613933,1439663,3054547,2123785,1101633,3225418,22595,19654,42262,4191,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
128,31250,1555507,1319876,2876505,2123801,1127057,3250858,19090,15196,34290,4296,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
129,31007,1730362,1379326,2939204,2123794,1082446,3206240,19470,17841,37320,4130,14517,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
130,30769,1557192,1297234,2855392,2123781,1078457,3202238,18950,14548,33502,4291,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
131,30534,1561010,1339100,2901181,2123783,1132654,3256437,18940,15758,34705,4186,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
132,30303,1569095,1369725,2939975,2123809,1117285,3241094,18979,16588,35573,4300,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
133,30075,1605171,1395938,3002234,2123799,1119068,3242867,22837,18692,41540,4383,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
134,29850,1555812,1281101,2838039,2123782,1084006,3207788,18689,14327,33022,4232,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
135,29629,1600029,1410048,3011019,2123797,1145030,3268827,21096,17805,38910,4285,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
136,29411,403129,1341929,2912241,2123808,1125783,3249591,19549,16743,36299,4243,6258,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
137,29197,1552878,1351510,2905585,2123799,1144579,3268378,19286,15734,35026,4158,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
138,28985,1563441,1326166,2890641,2123794,1076645,3200439,19623,15755,35389,4192,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
139,28776,1592625,1408300,3002088,2123797,1136239,3260036,21382,18119,39508,4253,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
140,28571,1562599,1342727,2906181,2123785,1120485,3244270,18922,16162,35089,4202,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
141,28368,1612698,1506794,3098210,2123802,1172312,3296114,20028,20352,40388,4594,7335,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
142,28169,1285180,1392275,2959438,2123811,1160877,3284688,19311,15645,34964,4423,5628,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
143,27972,1555485,1346837,2903551,2123801,1141353,3265154,18784,14925,33717,4344,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
144,27777,1572997,1381850,2955995,2123784,1129528,3253312,20765,17441,38215,4288,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
145,27586,1561860,1344118,2906784,2123801,1113640,3237441,18905,15386,34294,4085,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
146,27397,1554818,1330668,2886610,2123797,1118278,3242075,18941,14592,33539,4262,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
147,27210,442819,1408651,2977627,2123800,1137697,3261497,18893,16011,34913,4298,5693,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
148,27027,1584473,1377182,2962701,2123785,1162389,3286174,19062,15137,34206,4237,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,,
